FilerEIN,TaxYear,VolunteersInd,PaidStaffOrManagementInd,MediaAdvertisementsInd,MailingsMembersInd,PublicationsOrBroadcastInd,GrantsOtherOrganizationsInd,DirectContactLegislatorsInd,RalliesDemonstrationsInd,OtherActivitiesInd,OtherActivities,TotalLobbyingExpenditures,NotDescribedSection501c3Ind,GrantsOtherOrganizations,CorrectionMadeInd,FilingOrganizationsTotalTotLbbyExpendMnsLbbyngNonTx,Form4720FiledInd,LobbyingCeiling,GrassrootsCeilingAmt,OrganizationBelongsAffltGrpInd,AffiliatedGroupTotalTotLbbyExpendMnsLbbyngNonTxAmt,DirectContactLegislators,TotalExemptFunctionExpend,Form1120POLFiledInd,Form4720Filed4912TaxInd,SubstantiallyAllDuesNondedInd,OnlyInHouseLobbyingInd,AgreeCarryoverPriorYearInd,NonDeductibleLbbyngPltclTot,TaxableAmt,MailingsMembers,PoliticalExpenditures,DuesAssessments,NonDeductibleLbbyngPltclCY,AggregateReportedDuesNtc,VolunteerHoursCnt,Expended527Activities,InternalFundsContributed,MediaAdvertisements,PublicationsOrBroadcast,RalliesDemonstrations,Section4955OrganizationTax,Section4955ManagersTax
260900874,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
912117699,2021,,,,,,,,,,,,,,,,,,,,,,,,,true,false,false,,,,,,,,,,,,,,,
611286015,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237401870,2021,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,,,,,,,,,,,,,,,
132803276,2021,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,,,,,,,
461457252,2021,,,,,,,,,,,,,,,,,,,,,,98000,1,,1,0,0,,,,98000,,,,,0,98000,,,,,
460356156,2021,,,,,,,,,,,,,,,,,,,,,,,,,true,false,false,,,,,,,,,,,,,,,
611740292,2022,false,true,false,false,false,false,true,false,true,348896,627508,,,,,,,,,,278612,,,,,,,,,,,,,,,,,,,,,
510198509,2022,0,0,0,0,0,1,0,0,0,,9506527,0,9506527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
530183181,2022,,,,,,,,,,,,,,,0,,6000000,1500000,,,,,,,,,,,,,,,,,,,,,,,,
135661832,2022,,,,,,,,,,,,,,,0,,6000000,1500000,,,,,,,,,,,,,,,,,,,,,,,,
473036490,2022,true,true,false,false,true,false,true,false,true,734,3202,false,0,,0,,0,0,,,468,,,,,,,,,0,,,,,,,,0,2000,0,,
650267668,2022,,,,,,,,,,,,,,,0,,6000000,1500000,X,0,,,,,,,,,,,,,,,,,,,,,,
591479658,2022,0,0,0,0,0,0,0,0,1,99450,99450,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
043372526,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
042105780,2022,,,,,,,,,,,,,,,0,,6000000,1500000,X,0,,,,,,,,,,,,,,,,,,,,,,
742393839,2022,,,,,,,,,,,,,,,,,,,,,,,false,,false,false,false,75000,,,75000,455111,75000,113778,,,,,,,,
950490250,2022,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,,,,,,,
521974904,2022,,,,,,,,,,,,,,,,,,,,,,36257,1,,1,0,0,,,,36257,,,,0,9532,26725,,,,,
200960855,2022,,,,,,,,,,,,,,,,,,,,,,17615,true,,true,false,false,,,,17615,,,,,17615,,,,,,
